BRD-K19290969-001-07-5	10-Methyl-10H-phenothiazin-3-ylamine
BRD-K18518344-001-03-5	Digitoxigenin
BRD-A93236127-001-03-7	DIGITOXIN
BRD-K18619710-001-03-7	Digoxigenin
BRD-K23478508-001-03-7	Digoxin
BRD-A94756469-001-03-9	DIGOXIN
BRD-K20152659-001-02-0	DIHOMO-GAMMA-LINOLENIC ACID
BRD-A99164655-003-01-5	Dihydrexidine hydrochloride
BRD-A47144777-001-02-5	DIHYDRO-7-DESACETYLDEOXYGEDUNIN
BRD-K96362535-001-02-4	DIHYDRO-beta-TUBAIC ACID
BRD-A02713983-001-02-0	DIHYDRODEOXYGEDUNIN
BRD-A65076780-001-01-3	DIHYDROERGOCRISTINE
BRD-A44701612-066-01-9	Dihydroergocristine mesylate
BRD-K97440753-066-03-3	Dihydroergocristine mesylate
BRD-A54845972-066-01-5	Dihydroergotamine mesylate
BRD-K72166146-066-03-9	DIHYDROERGOTAMINE MESYLATE
BRD-A11483079-001-02-4	DIHYDRO-OBLIQUIN
BRD-A91477472-001-02-2	DIHYDROPTAEROXYLIN
BRD-K94412972-001-02-9	DIHYDROROBUSTIC ACID
BRD-K63945320-001-03-2	DIHYDROSAMIDIN
BRD-K48722258-300-04-5	Dilazep dihydrochloride
BRD-K10974103-001-14-6	DILOXANIDE FUROATE
BRD-K24023109-003-11-2	Diltiazem hydrochloride
BRD-A69636825-003-03-9	DILTIAZEM HYDROCHLORIDE
BRD-K73391359-003-03-7	Dimethisoquin hydrochloride
BRD-K22193694-001-08-6	DIOXYBENZONE
BRD-K93441486-067-03-7	Diphemanil methylsulfate
BRD-K01663662-003-03-8	Diphenidol hydrochloride
BRD-K65814004-003-01-1	Diphenyleneiodonium chloride
BRD-A47494775-003-03-0	Dipivefrin hydrochloride
BRD-K32645441-001-01-4	DIPROPYL-5CT
BRD-K82577285-001-01-7	DIPROPYLDOPAMINE
BRD-K69032158-001-02-2	DIPROTIN A
BRD-K86301799-001-19-9	DIPYRIDAMOLE
BRD-A29734509-011-06-0	DISOPYRAMIDE PHOSPHATE
BRD-K95212245-001-03-1	DM161 BRD-K95212245
BRD-K06180729-001-03-3	DM163 BRD-K06180729
BRD-K81592585-001-05-5	DM-55-3 BRD-K81592585
BRD-K26573499-300-01-3	DMAB-anabaseine dihydrochloride
BRD-K96084870-001-01-9	DMBI
BRD-K31699485-001-01-9	DMeOB
BRD-K89274813-001-01-5	DMP 543
DMSO	DMSO
BRD-K85266041-304-01-7	DNQX disodium salt
BRD-K17378184-300-03-4	DO 897/99
BRD-A78322124-003-06-6	Dobutamine hydrochloride
BRD-K39965020-001-02-6	DOCOSAHEXAENOIC ACID (22:6 n-3)
BRD-K01624546-001-02-8	DOCOSATRIENOIC ACID (22:3 n-3)
NGP-003-05_E09	dolasetron
BRD-K38305202-001-08-3	DOMPERIDONE
BRD-A49160188-003-04-4	DONEPEZIL HYDROCHLORIDE
BRD-K54233340-300-01-0	Dorsomorphin dihydrochloride
BRD-K54759182-003-02-3	Dosulepin hydrochloride
NGP-003-05_F02	doxapram
BRD-K36616567-003-01-5	Doxepin hydrochloride
BRD-K54462405-003-03-3	Doxepin hydrochloride
BRD-K37694030-003-05-1	DOXEPIN HYDROCHLORIDE
BRD-A52530684-001-01-1	DOXORUBICIN
BRD-A76941896-003-02-0	Doxorubicin hydrochloride
BRD-K92093830-003-05-0	Doxorubicin hydrochloride
BRD-A44008656-036-15-9	DOXYLAMINE SUCCINATE
BRD-A27143604-001-01-2	DPN
BRD-K99922388-001-01-2	DPO-1
BRD-K80315159-051-01-2	DPPE fumarate
BRD-K94920105-001-01-3	DR 2313
BRD-K97158071-001-08-2	DROPERIDOL
BRD-K33459542-001-02-5	DTG
BRD-A99571536-001-04-4	Dubinidine
NGP-003-05_D06	duloxetine hcl
BRD-K71103788-003-04-7	DULOXETINE HYDROCHLORIDE
BRD-K06221026-001-03-5	DuP 697
BRD-K62353524-001-01-8	DY131
BRD-K68620903-001-03-1	Dydrogesterone
BRD-K06765193-001-08-7	(E)-2-(1H-Benzoimidazol-2-yl)-3-(5-nitro-furan-2-yl)-acrylonitrile BRD-K06765193
BRD-K41713976-300-01-8	E-4031 dihydrochloride
BRD-K49749421-001-06-8	(E)-4-(4-(benzyloxy)-2-fluoro-5-methoxybenzylidene)-2-phenyloxazol-5(4H)-one KLK-45
BRD-K50464341-001-02-6	E6 berbamine
BRD-A96485169-001-05-1	EBPC
BRD-K29359156-001-22-8	EBSELEN
BRD-K16233984-236-01-4	EBT or (Erichrome Black T)
BRD-K40227168-001-06-1	Eburnamonine (-)
BRD-A51820102-008-16-4	ECONAZOLE NITRATE
BRD-K27450477-001-03-9	EHNA
BRD-K80325895-001-02-3	EICOSADIENOIC ACID (20:2 n-6)
BRD-K47192521-001-02-1	EICOSAPENTAENOIC ACID (20:5 n-3)
BRD-K63913457-001-02-7	EICOSATRIENOIC ACID (20:3 n-3)
BRD-A61392169-001-01-9	Eliprodil
BRD-K86727142-001-06-6	Embelin
BRD-K47659338-003-01-0	EMD 386088 hydrochloride
BRD-K89271983-001-01-5	EMD 41000
BRD-K88759641-003-01-0	EMD 66684
BRD-A25687296-300-03-5	EMETINE
BRD-K03067624-003-19-3	EMETINE HYDROCHLORIDE
BRD-K01712134-001-03-7	EMF-csc-9 BRD-K01712134
BRD-K57545991-050-16-5	ENALAPRIL MALEATE
BRD-K54728231-001-02-3	ENDECAPHYLLIN X
NGP-003-05_H05	enrofloxacin
BRD-K76534306-001-11-0	ENROFLOXACIN
BRD-K42452249-001-01-7	EO 1428
BRD-A98431941-003-02-1	EPHEDRINE (1R,2S) HYDROCHLORIDE
BRD-A39268308-001-02-0	epibatidine (+/-)
BRD-K50660797-001-03-6	EPICATECHIN MONOGALLATE
BRD-K39339537-001-03-8	Epirizole
BRD-K04548931-003-05-8	EPIRUBICIN HYDROCHLORIDE
BRD-K25836724-001-01-6	epitestosterone
BRD-A53131506-001-01-3	EPITESTOSTERONE
BRD-A39969961-001-01-3	Eplerenone
BRD-K04046242-001-03-6	Equilin
BRD-A88080608-001-03-4	EQUILIN
BRD-K11927976-050-01-1	ER 27319 maleate
BRD-K19360254-001-01-3	ERGOCORNINE
BRD-K74212935-001-04-9	Ergocryptine-alpha
BRD-A73581086-001-01-3	ERGONOVINE
BRD-A35033682-001-02-8	ERIODYCTOL
BRD-K63550407-001-08-5	ERYTHROMYCIN
BRD-K39746403-084-03-1	ERYTHROMYCIN ESTOLATE
BRD-K51677086-001-07-0	ERYTHROMYCIN ETHYLSUCCINATE
BRD-K14920963-304-01-9	ERYTHROSINE SODIUM
BRD-K70301876-034-06-1	ESCITALOPRAM OXALATE
BRD-A99411506-002-01-3	Esculin Hydrate
BRD-A18917088-001-03-1	ESTRADIOL
BRD-K18910433-001-05-1	Estradiol-17 beta
BRD-A23226398-001-04-3	ESTRADIOL ACETATE
BRD-A36066264-001-03-1	ESTRADIOL BENZOATE
BRD-A91452556-001-03-2	ESTRADIOL CYPIONATE
BRD-A39747742-001-03-5	ESTRADIOL VALERATE
BRD-K17016787-001-03-5	Estriol
BRD-A18620900-001-04-5	ESTRIOL
BRD-A84205515-001-02-5	ESTRIOL METHYL ETHER
BRD-K81839095-001-04-6	Estrone
BRD-A37959677-001-03-7	ESTRONE
BRD-K51095933-231-03-2	Estropipate
BRD-A22143024-231-02-0	ESTROPIPATE
BRD-K64755930-003-02-4	Etazolate hydrochloride
BRD-K63630713-001-15-9	ETHACRYNIC ACID
NGP 201-04_A03	ethambutol
BRD-K38055836-001-13-8	ETHAMIVAN
BRD-A02367930-001-03-7	ETHINYL ESTRADIOL
BRD-K03981224-001-02-9	Ethisterone
BRD-K08556791-001-02-7	ETHOPROP
BRD-A16311756-003-06-9	ETHOPROPAZINE HYDROCHLORIDE
BRD-A30205217-001-03-9	Ethotoin
BRD-K70229243-001-05-1	ethyl 2-cyano-2-(3,5-dimethoxybenzyl)-3-(3,5-dimethoxyphenyl)propanoate HZ-1
BRD-K71746704-001-05-5	ethyl 3-(4-(2-hydroxy-3-methoxyphenyl)pyridin-3-yl)propanoate KCR-1
BRD-K71835137-001-05-3	ethyl 3-(benzylthio)-6,6-dimethyl-4-oxo-4,5,6,7-tetrahydrobenzo[c]thiophene-1-carboxylate MAY_5
BRD-K79235952-001-05-0	ethyl 3-(methylthio)-4-oxo-4,5,6,7-tetrahydrobenzo[c]thiophene-1-carboxylate MAY_1
BRD-K69231968-003-05-9	ethyl 4-(2-(3,4-difluorobenzamido)ethylamino)piperidine-1-carboxylate hydrochloride Vanderbilt_Probe_6
BRD-K27520107-003-05-8	ethyl 4-(2-(3-fluorobenzamido)ethylamino)piperidine-1-carboxylate hydrochloride Vanderbilt_Probe_5
BRD-K24665987-003-05-9	ethyl 4-(2-(4-fluorobenzamido)ethylamino)piperidine-1-carboxylate hydrochloride Vanderbilt_Probe_4
BRD-K47448802-003-05-6	ethyl 4-(2-benzamidoethylamino)piperidine-1-carboxylate hydrochloride Vanderbilt_Probe_3
BRD-K27169919-001-07-2	ethyl {[4-(4-fluorophenyl)-6-(trifluoromethyl)-2-pyrimidinyl]sulfonyl}acetate
BRD-K49061529-001-01-0	ETHYL-beta-CARBOLINE-3-CARBOXYLATE
BRD-K31920458-001-03-8	Ethynylestradiol 3-methyl ether
BRD-K50417881-003-05-9	Eticlopride hydrochloride
BRD-K63979671-001-03-6	Etifenin
BRD-A09925278-003-03-1	Etilefrine hydrochloride
NGP 201-04_H05	etodolac
BRD-A74667430-001-15-2	ETODOLAC
BRD-A54880345-001-11-8	ETOMIDATE
BRD-A18419789-001-01-4	Etoposide
BRD-K15842202-001-02-5	EUDESMIC ACID
BRD-K46068882-001-02-7	EUGENITOL
BRD-K32977963-001-03-5	EUGENOL
BRD-K47693913-001-02-4	Evoxine
BRD-A73741725-001-01-0	EXEMESTANE
BRD-K78633253-001-04-6	Exo1
BRD-A41519720-001-03-0	EZETIMIBE
BRD-K45033733-001-05-6	FAMCICLOVIR
BRD-K08998509-001-01-6	Fananserin
BRD-K63089472-001-02-7	FARNESYLTHIOACETIC ACID
BRD-K76617868-003-03-6	Fasudil hydrochloride
BRD-K14821540-001-03-9	FCCP
BRD-K48367671-001-01-8	FEBUXOSTAT
BRD-K36638198-001-02-8	FELAMIDIN
BRD-K99107520-001-09-2	Felbamate
BRD-A30815329-001-03-0	Felodipine
BRD-K51318897-001-07-0	FENBENDAZOLE
BRD-K12513978-001-16-7	FENBUFEN
BRD-K41160163-001-01-9	Fenobam
BRD-K50388907-001-15-5	FENOFIBRATE
BRD-A50684349-003-01-1	Fenoldopam hydrochloride
BRD-A97104540-004-08-5	FENOTEROL HYDROBROMIDE
BRD-K28168037-001-01-3	Fenretinide
BRD-K34170797-001-01-1	Fexaramine
BRD-A73368467-003-07-7	FEXOFENADINE HYDROCHLORIDE
BRD-K61951118-001-02-0	FG 7142
BRD-K09778810-001-01-5	FGIN-1-27
BRD-K66093087-001-02-3	FGIN-1-43
BRD-K28667196-001-02-9	Fillalbin
BRD-K01095011-001-03-5	Finasteride
BRD-A83081521-001-01-5	FINASTERIDE
BRD-A50675702-001-04-8	FIPRONIL
BRD-K89853519-001-02-1	FISETINIDOL
BRD-K17896185-001-01-2	FIT
BRD-K83508485-001-01-9	FK 888
BRD-K30296925-001-02-1	FLAVOKAWAIN B
BRD-K47639036-003-03-3	Flavoxate hydrochloride
BRD-A09472452-015-11-9	Flecainide acetate
BRD-A13650332-236-03-9	Flucloxacillin sodium
BRD-K05977355-001-09-1	FLUCONAZOLE
BRD-A38749782-001-03-3	FLUDROCORTISONE ACETATE
BRD-K44067360-001-16-2	FLUFENAMIC ACID
BRD-K98769987-001-09-6	Flumazenil
BRD-K61496577-001-03-8	Flumethasone
BRD-A01346607-001-03-4	FLUMETHASONE
BRD-K12184470-300-01-8	Flunarizine dihydrochloride
BRD-K29582677-300-06-4	FLUNARIZINE HYDROCHLORIDE
NGP 201-04_F05	flunisolide
BRD-K49577446-001-03-1	Flunisolide
BRD-A65449987-001-06-2	FLUNISOLIDE
BRD-A77824596-001-03-2	FLUOCINOLONE ACETONIDE
BRD-A15297126-001-03-5	FLUOCINONIDE
BRD-A13133631-001-03-2	FLUOROMETHOLONE
BRD-A31159102-003-13-0	Fluoxetine hydrochloride
NGP-003-05_G04	fluperlapine
BRD-K15715913-001-01-5	FLUPERLAPINE
BRD-K55127134-300-05-4	Fluphenazine dihydrochloride
BRD-K55127134-300-07-0	FLUPHENAZINE HYDROCHLORIDE
BRD-K53987533-003-01-9	Fluphenazine-N-2-chloroethane, Dihydrochloride
BRD-K31611373-001-02-7	FLUPROSTENOL
BRD-K00824317-001-03-0	Flurandrenolide
BRD-A49765801-001-03-3	FLURANDRENOLIDE
BRD-K67445247-001-01-3	Flurofamide
BRD-K77947974-001-05-6	Fluspirilen
BRD-K28307902-001-09-2	FLUTAMIDE
BRD-A59943784-001-01-8	Fluticasone propionate
BRD-K62310379-001-03-0	Fluticasone propionate
BRD-K66296774-001-02-0	FLUVASTATIN
BRD-K72676686-103-01-8	Fluvoxamine maleate
BRD-A49734948-001-03-3	Foliosidine
BRD-A31801025-001-01-0	formestane
BRD-M00539986-051-01-1	Formoterol hemifumarate
BRD-K77830450-001-02-4	forskolin
BRD-K09602097-001-04-5	Forskolin
BRD-K03015355-003-01-5	Forskolin, 7-Deacetyl-7-[O-(N-methylpiperazino)-g-butyryl]-, Dihydrochloride
BRD-A96456596-001-01-4	FPL 55712
BRD-K78959463-001-05-8	FPL 64176
BRD-K30990140-003-01-6	FR 122047 hydrochloride
BRD-A80641450-001-01-4	FR 139317
BRD-K76587808-001-03-8	FRAXETIN
BRD-K66944906-001-02-6	FRAXIDIN METHYL ETHER
BRD-K96402602-001-01-8	FTT
BRD-K25662647-001-05-1	 FU_JMBII105B
BRD-K61248029-001-05-2	 FU_JMBII113B
BRD-K34452916-001-06-8	 FU_JMBII127B
BRD-K92895207-001-05-7	 FU_JMBII227B
BRD-K91134378-001-05-5	Furan-2-yl-[4-(2-methyl-5,6,7,8-tetrahydro-benzo[4,5]thieno[2,3-d]pyrimidin-4-yl)-piperazin-1-yl]-methanone MLS-0083944.0001
BRD-A71157293-003-03-5	Fursultiamine Hydrochloride
BRD-K87049188-001-03-6	Fusaric acid
BRD-K93280214-004-02-3	Gabazine
BRD-K59256312-066-04-1	Gabexate mesylate
BRD-A49148672-004-01-6	Galanthamine hydrobromide
BRD-K18059238-001-02-1	GAMMA-LINOLENIC ACID (18:3 n-6)
BRD-K77998258-001-02-3	GANGLEOIDIN ACETATE
NGP 201-04_H03	gatifloxacin
BRD-K49890030-236-01-6	Gavestinel
BRD-K92015269-001-01-6	GBR 12783
BRD-K34034388-300-01-0	GBR 12783 dihydrochloride
BRD-K32501161-300-04-7	GBR 12909 dihydrochloride
BRD-K50135270-300-01-5	GBR 12935 dihydrochloride
BRD-K92577649-001-01-6	GBR 13069
BRD-K11634954-300-01-8	GBR 13069 dihydrochloride
BRD-A19500257-001-03-9	geldanamycin
BRD-A19500257-001-02-1	GELDANAMYCIN
BRD-A17535965-001-02-2	Gelsemine
BRD-K11129031-001-15-0	GEMFIBROZIL
BRD-A36151937-001-01-2	Genistin
BRD-K31342827-001-06-2	GF 109203X
BRD-K92758126-001-06-3	Gibberellic acid
BRD-K26117720-001-02-2	GINGEROL
BRD-A65550283-001-01-9	ginsenoside-Rc
BRD-A29082194-001-02-4	GITOXIGENIN
BRD-K36927236-001-15-1	Glibenclamide
BRD-K34776109-001-03-4	Glimepiride
BRD-K42693031-001-01-8	Glimepiride
BRD-K12219985-001-15-4	GLIPIZIDE
BRD-K80396088-001-03-9	Gliquidone
BRD-K54771420-001-03-2	Glycocholic acid
BRD-A73859745-236-01-8	Glycodeoxycholic Acid
NGP 201-04_H02	glycopyrrolate
BRD-K51662849-001-03-9	GM6001
BRD-A33084410-300-01-0	GNTI dihydrochloride
NGP-003-05_C02	goserelin
BRD-K65285700-001-01-5	GP 1a
BRD-K34608650-001-01-6	GP 2a
BRD-K50891186-001-03-6	GR 103691
BRD-K49945136-001-03-5	GR 113808
BRD-K11911061-003-02-8	GR 127935 hydrochloride
BRD-K83023055-001-01-9	GR 135531
BRD-K12120659-305-01-4	GR 144053 trihydrochloride
BRD-K52394958-001-01-9	GR 159897
BRD-K02283807-003-01-4	GR 32191 hydrochloride
BRD-K68190965-001-01-4	GR 46611
BRD-K46441700-300-01-4	GR 55562 dihydrochloride
BRD-K40578143-001-01-8	GR 79236
BRD-A93659613-051-03-6	GR 89696 fumarate
NGP-003-05_G07	granisetron hcl
BRD-K92683369-001-03-6	Graveoline
BRD-K75478907-001-01-5	GS39783
BRD-K67860401-001-01-5	GSK-3b Inhibitor VIII
BRD-K09991945-001-02-0	GSK-3 Inhibitor II
BRD-K16664969-001-02-5	GTP 14564
BRD-A90515964-001-09-0	GUAIFENESIN
BRD-K62736196-015-03-7	Guanabenz acetate
BRD-K67847053-015-08-8	Guanabenz acetate
BRD-K56800335-015-03-1	GUANABENZ ACETATE
BRD-K32830106-001-01-8	GUANFACINE
NGP-003-05_D08	guanidine, n-cyano-n'-(1,1-dimethylpropyl)-n''-3-pyridinyl- [cas]
BRD-A86109770-001-01-9	Guggulsterone
BRD-K82983861-001-01-9	GW 0742
BRD-A15415227-003-01-1	GW 1929
BRD-A38898897-003-01-0	GW 311616 hydrochloride
BRD-K33818169-003-01-2	GW 3965 hydrochloride
BRD-K10705233-001-01-4	GW 405833
BRD-K64245000-001-01-7	GW 4064
BRD-K04146668-001-01-3	GW 441756
BRD-K39520573-001-01-2	GW 5074
BRD-K79930101-300-01-1	GW 583340 dihydrochloride
BRD-A72596465-001-01-3	GW 6471
BRD-K96263742-001-02-3	GW 7647
BRD-K90382497-001-02-4	GW 843682X
BRD-K71534238-001-03-5	GW 9508
BRD-K93258693-001-05-8	GW 9662
BRD-K24240364-003-02-1	GYKI 52466 hydrochloride
BRD-K18742343-001-03-2	H-8
BRD-K27737647-300-01-4	H 89 dihydrochloride
BRD-K70577657-300-04-1	H-9 dihydrochloride
BRD-K05434375-001-03-2	HA-1004
BRD-K77793136-003-02-2	HA 1100 hydrochloride
BRD-A18932057-001-01-1	HAEMATOXYLIN PENTAACETATE
BRD-K80307267-001-02-1	HAEMATOXYLONE, TETRAMETHYL-
BRD-K81709173-001-03-8	Halcinonide
NGP-003-05_E04	haloperidol
BRD-K67783091-001-17-0	HALOPERIDOL
BRD-K07996107-001-03-3	Harpagoside
BRD-A24429032-003-01-6	HEAT hydrochloride
BRD-A08709697-001-02-9	Heliotrine
BRD-A63998256-001-02-3	Helveticoside
BRD-A00267231-001-01-1	HEMADO
BRD-K81209159-001-03-7	HERNIARIN
BRD-K38903228-001-02-8	Hesperidin
BRD-K95885906-001-01-8	HEXAMETHYLQUERCETAGETIN
BRD-A97730597-003-03-2	Hexylcaine hydrochloride
BRD-K99946902-001-06-7	HEXYLRESORCINOL
BRD-K37691127-001-02-2	Hinokitiol
BRD-K71003802-001-02-9	Hippeastrine hydrobromide
BRD-K07325606-001-02-3	Hispidin
BRD-K08554278-001-02-4	Hoechst  33342 (cell permeable) (BisBenzimide)
BRD-A09539288-004-03-6	HOMATROPINE BROMIDE
BRD-A74975734-004-02-4	Homatropine hydrobromide (R,S)
BRD-A22769835-300-03-2	Homochlorcyclizine dihydrochloride
NGP-003-05_C11	homoharringtonine
BRD-K76674262-001-01-7	Homoharringtonine
BRD-A34751532-001-04-4	HOMOSALATE
NGP-003-05_A05	homoveratrylamine
NGP-003-05_G08	htmt
BRD-A66435872-313-01-8	HTMT dimaleate
BRD-A47065382-001-02-9	Huperzine A [(-)-Huperzine A]
BRD-A77722753-003-02-5	Hydralazine hydrochloride
BRD-K02715688-001-01-3	HYDRASTINE (1R, 9S)
BRD-K92726801-003-02-7	Hydrastinine hydrochloride
BRD-A75172220-001-03-2	HYDROCORTISONE
BRD-A65767837-001-03-6	HYDROCORTISONE ACETATE
BRD-A07000685-001-03-6	HYDROCORTISONE HEMISUCCINATE
BRD-A46186775-369-01-2	HYDROCORTISONE PHOSPHATE TRIETHYLAMINE
BRD-A25143711-001-01-4	HYDROCORTISONE VALERATE
BRD-K37447567-004-05-3	Hydrocotarnine hydrobromide
BRD-A06390036-001-03-8	HYDROQUINIDINE
BRD-A78295502-337-03-5	Hydroquinine hydrobromide hydrate
BRD-A98299281-050-04-7	Hydroxytacrine maleate (R,S)
BRD-K46424862-001-04-2	Hymecromone
BRD-A78303415-001-03-5	HYOSCYAMINE
BRD-K40530731-001-02-5	Hyoscyamine (L)
BRD-K29673530-001-03-9	HYPERICIN
BRD-K85383046-001-02-5	IAA-94
BRD-K15196155-001-01-5	IBC 293
BRD-A20527803-001-01-2	IB-MECA
BRD-A48809242-001-02-9	IB-MECA
BRD-K16444452-001-03-4	Ibudilast
BRD-A17655518-001-12-9	IBUPROFEN
BRD-K09638361-001-01-4	IC 261
BRD-K65639003-001-05-8	ICARIIN
BRD-K28167849-001-03-9	ICHTHYNONE
BRD-A78942461-003-01-3	ICI-118,551 hydrochloride
BRD-K66782112-001-01-2	ICI-162,846
BRD-A90490067-001-01-9	ICI 182,780
BRD-A51929314-001-01-4	ICI-185,282
BRD-A89208012-001-01-4	ICI 192,605
BRD-K73290745-003-01-8	ICI-199,441 hydrochloride
BRD-A37776212-003-02-5	ICI 204,448 hydrochloride
BRD-K48311056-003-01-7	ICI 215,001 hydrochloride
BRD-K52219182-001-01-6	ICI 63197
BRD-A03359064-001-01-5	ICI-89406
BRD-K48869804-001-04-7	Icilin
BRD-K14618467-003-01-8	IKK 16
BRD-K74305673-001-01-3	IMD 0354
BRD-A10903566-003-02-8	Imiloxan hydrochloride
BRD-K38436528-003-15-4	IMIPRAMINE HYDROCHLORIDE
BRD-K25906698-303-01-9	Immepip dihydrobromide
BRD-K49519092-303-01-4	Immethridine dihydrobromide
BRD-K07117950-001-03-4	IMPERATORIN
BRD-K33308633-001-01-6	INCA-6
BRD-A95869247-001-14-5	INDAPAMIDE
NGP 201-04_A02	inderal
BRD-K17894950-001-03-6	INDIRUBIN
BRD-K19136521-001-03-0	Indirubin-3?-monoxime
BRD-K53959060-001-01-3	Indirubin-3'-oxime
BRD-K01815685-001-07-2	INDOLE-3-CARBINOL
BRD-K57222227-001-18-6	INDOMETHACIN
BRD-A44090213-001-15-7	INDOPROFEN
BRD-K43860855-065-03-6	Iobenguane sulfate
BRD-A37492983-001-03-8	Iocetamic acid
BRD-K67261995-001-03-4	Iodipamide
BRD-K51918615-303-01-1	Iodophenpropit dihydrobromide
BRD-K35377380-001-01-4	I-OMe-AG 538
BRD-A42628519-001-07-4	IOPANIC ACID
BRD-K79124250-001-03-0	Ioxaglic acid
BRD-A05352148-004-02-0	Ipratropium bromide
BRD-A37432947-004-02-5	Ipratropium bromide
BRD-A07029265-004-02-9	IPRATROPIUM BROMIDE
BRD-K90574421-001-01-9	Ipsapirone
BRD-K60038276-001-03-3	IRBESARTAN
BRD-K78329127-001-02-9	IRIFLOPHENONE TRIMETHYL ETHER
BRD-K92678294-001-01-0	IRILIN A DIMETHYL ETHER
BRD-A54029483-001-01-5	IRL-2500
BRD-K74195153-050-03-0	Irsogladine maleate
BRD-A26845397-001-01-4	ISAMOLTANE
BRD-K93332168-001-03-2	Isocarboxazid
BRD-K05737787-001-02-2	ISOEUGENITOL
BRD-K29173907-001-03-5	Isoflupredone acetate
BRD-A52326238-001-02-3	ISOGEDUNIN
BRD-A41722204-003-01-5	Isomazole, Dihydrochloride
BRD-K86509404-001-03-8	ISO-OLOMOUCINE
BRD-K37080523-001-02-8	ISORESERPINE
BRD-K06198550-001-02-1	ISOROTENONE
BRD-A75552914-001-09-3	ISOXICAM
BRD-A74269027-003-03-8	Isoxsuprine hydrochloride
BRD-A16700644-003-03-6	ISOXSUPRINE HYDROCHLORIDE
BRD-A90799790-001-04-1	Isradipine
NGP-003-05_H10	itavastatin ca
BRD-K60298136-001-01-7	ITE
BRD-K64402243-001-01-1	Ivachtin
BRD-A48570745-001-01-1	IVERMECTIN
BRD-K26429091-051-01-9	J 104129 fumarate
BRD-K72541103-001-01-5	JAK3 Inhibitor I
BRD-K52850071-001-01-2	JAK3 Inhibitor II
BRD-K95676198-001-02-6	JAK3 Inhibitor V
BRD-K04546108-066-01-5	JAK3 Inhibitor VI
BRD-K22010301-001-01-2	JLK 6
BRD-K15086322-103-01-0	JNJ 10191584 maleate
BRD-K64670467-001-01-2	JNJ 16259685
BRD-K17705806-003-01-0	JTC 801
BRD-K43330982-001-01-5	JTE 013
BRD-K63150726-001-01-3	JTE 907
BRD-K17796732-001-02-0	JWH 015
BRD-K05464208-001-01-6	JX 401
BRD-A43849199-001-02-3	Karakoline
BRD-K09497549-001-03-6	Kawain
BRD-A75455249-001-12-9	KAWAIN
BRD-K17743697-066-02-8	KB-R7943 mesylate
BRD-K32501161-003-07-0	 KCR-13
BRD-K37312348-001-06-9	Kenpaullone
BRD-K49671696-045-03-6	Ketanserin tartrate
BRD-A97739905-001-15-8	KETOPROFEN
BRD-A40639672-234-09-9	KETOROLAC TROMETHAMINE
NGP-003-05_H06	ketotifen
BRD-K28936863-051-18-1	KETOTIFEN FUMARATE
BRD-A54927599-001-07-8	KF 38789
BRD-K47150025-001-01-2	Ki 8751
BRD-A73605923-001-01-7	kirromycin
BRD-A81177136-001-03-6	KN-62
BRD-K93480852-001-02-2	KN-93
BRD-A38747044-001-01-5	KU14R
BRD-A71009679-001-02-8	 KUC103420N
BRD-A80386041-001-04-6	 KUC103423N
BRD-A86990971-001-04-3	 KUC103424N
BRD-A82096673-001-04-4	 KUC103428N
BRD-A81402010-001-02-1	 KUC103443N
BRD-A89047717-001-03-0	KUC103654 KUC103654N
BRD-K38483076-001-03-2	KUC103655 KUC103655N
BRD-K24281017-001-03-8	KUC103656 KUC103656N
BRD-K52800308-001-03-8	KUC103658 KUC103658N
BRD-K25190777-001-03-0	KUC103670 KUC103670N
BRD-K49237419-001-03-5	KUC103671 KUC103671N
BRD-K46872340-001-03-6	KUC103672 KUC103672N
BRD-A35020550-001-03-2	KUC103676 KUC103676N
BRD-K65369159-001-03-9	KUC103853 KUC103853N
BRD-K26300881-001-03-7	KUC103867 KUC103867N
BRD-K19609011-001-03-3	KUC103868 KUC103868N
BRD-K02458594-001-03-9	KUC103869 KUC103869N
BRD-K51302260-001-03-2	KUC103871 KUC103871N
BRD-K77856555-001-03-1	KUC103874 KUC103874N
BRD-K36533576-001-03-1	KUC103875 KUC103875N
BRD-K92269225-001-03-8	KUC103881 KUC103881N
BRD-K53579868-001-03-9	KUC103882 KUC103882N
BRD-K92559570-001-03-3	KUC103884 KUC103884N
BRD-K36153907-001-03-8	KUC103885 KUC103885N
BRD-K87483782-001-02-9	 KUC103893N
BRD-K34508425-001-02-0	 KUC103898N
BRD-K88863622-001-02-5	 KUC103903N
BRD-K65910366-001-02-1	 KUC103904N
BRD-K81365078-001-03-5	KUC104122 KUC104122N
BRD-K39232234-001-03-1	KUC104123 KUC104123N
BRD-K66029294-001-01-8	 KUC104126N
BRD-K14945759-001-03-2	KUC104127 KUC104127N
BRD-K87446239-001-03-3	KUC104129 KUC104129N
BRD-K09138889-001-03-4	KUC104131 KUC104131N
BRD-K82312777-001-03-0	KUC104132 KUC104132N
BRD-K88832793-001-03-1	KUC104133 KUC104133N
BRD-K64822626-001-03-3	KUC104135 KUC104135N
BRD-K05566481-003-03-8	KUC104137 KUC104137C
BRD-K95807833-001-03-6	KUC104139 KUC104139N
BRD-K29143967-001-03-5	KUC104140 KUC104140N
BRD-K43637719-001-03-9	KUC104141 KUC104141N
BRD-K70251741-001-03-7	KUC104142 KUC104142N
